council,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
34,165879,163381,0.1630360935482094,0.8369639064517906,0.4981,0.5019,32.05714285714286,68549.38095238095,0.1957,0.8043,0.2316,0.7684,0.18049999999999997,0.387,0.1452,0.1022,0.0887,0.09630000000000001,0.3095,0.2352,0.095,0.0427,0.0018,0.0054,0.0804,7e-4,3e-4,1e-4,0.0041,0.1868,0.0197,0.0184,0.0808,0.5203,0.2795,0.2408,0.4797,0.2675,0.2122,0.558,0.3363,0.04,0.0657,0.2207,0.2194,0.12869999999999998,0.0498,0.2719,0.1097,0.7535,0.0461,0.2004,0.8445,0.611,0.2669,0.1555,0.4227,0.27290000000000003,0.4498,0.0061,0.0021,0.0069,0.0016,0.0024,0.007,4e-4,8e-4,5e-4,0.0043,0.0201,0.0012,0.0019,1e-4,3e-4,1e-4,0.0013,6e-4,0.0056,0.0087,0.0345,0.0032,0.0032,0,0,4e-4,1e-4,0.0011,0.0039,0.0021,3e-4,0,0,6e-4,0.0039,0.0012,7e-4,3e-4,0.2124,9e-4,6e-4,0.0025,4e-4,5e-4,0.0017,0,1e-4,0,0.0023,0.0114,3e-4,0.0011,1e-4,1e-4,0,1e-4,2e-4,0.0033,0.0037,0.0237,0.0012,7e-4,0,0,0,0,3e-4,0.0019,4e-4,0,0,0,4e-4,0.0021,2e-4,0,3e-4,7.999999999999999e-4,0.053,0.0422,0.0206,0.10830000000000001,0.0401,0.0743,0.063,0.1895,0.18439999999999998,0.1478,0.0519,0.0242,0.16210000000000002,0.0551,0.1931,0.0235,0.041299999999999996,0.0195,0.0806,0.0413,0.0429,0.1908,0.0639,0.086
35,177646,172090,0.27482712534139114,0.7251728746586089,0.4613,0.5387,34.11590909090909,81040.40909090909,0.1233,0.8767,0.1783,0.8217,0.18180000000000002,0.33719999999999994,0.15489999999999998,0.1108,0.09600000000000002,0.11929999999999999,0.378,0.0406,0.3888,0.0248,0.0011,7e-4,0.0686,3e-4,2e-4,1e-4,0.0071,0.0426,0.0358,0.0113,0.0597,0.4789,0.2847,0.1942,0.5211,0.3475,0.1736,0.5345,0.3556,0.0382,0.0717,0.1195,0.1639,0.13,0.0496,0.3031,0.2339,0.7626,0.046,0.1914,0.9365,0.7435,0.23170000000000002,0.0635,0.7106,0.1056,0.1167,0.0174,0.0332,0.0037,0.0012,0.0038,0.0177,0.0012,7e-4,7e-4,0.0065,9e-4,8e-4,0.001,4e-4,0.001,6e-4,0.002,0.0013,0.0054,0.0025,0.022,0.0038,0.003,0,0,7e-4,0,7e-4,0.0028,0.0011,7e-4,0,2e-4,2e-4,0.0071,0.0187,0.0097,2e-4,0.0398,0.0044,0.0181,8e-4,3e-4,2e-4,0.0035,3e-4,1e-4,1e-4,0.0021,2e-4,3e-4,1e-4,3e-4,3e-4,0,2e-4,4e-4,0.0025,8e-4,0.0136,0.0014,8e-4,0,0,5e-4,0,2e-4,0.001,4e-4,1e-4,0,0,1e-4,0.0041,0.0055,0.0031,0,8e-4,0.024,0.0254,0.012299999999999998,0.07899999999999999,0.0416,0.0762,0.0806,0.2041,0.2623,0.0965,0.0545,0.0426,0.2077,0.076,0.26280000000000003,0.039,0.0412,0.022900000000000004,0.0361,0.0278,0.0364,0.1725,0.026199999999999998,0.0514
36,147948,145429,0.2571014034339781,0.7428985965660219,0.4595,0.5405,33.72195121951219,53859.90243902439,0.2069,0.7931,0.2808,0.7192,0.19439999999999996,0.32670000000000005,0.1425,0.123,0.1021,0.11119999999999998,0.1739,0.052,0.5725,0.0408,0.0023,0.0018,0.0333,6e-4,2e-4,6e-4,0.0024,0.0759,0.0253,0.0182,0.0567,0.5218,0.213,0.3088,0.4782,0.3321,0.1461,0.577,0.2952,0.0519,0.07600000000000001,0.1625,0.2542,0.1503,0.0644,0.2329,0.13570000000000002,0.7054,0.0567,0.2379,0.8958999999999999,0.6351000000000001,0.3127,0.1041,0.7708,0.0914,0.1527,0.0125,0.0145,0.0012,4e-4,0.0014,0.002,1e-4,7e-4,4e-4,0.0022,3e-4,0,4e-4,0,6e-4,3e-4,5e-4,0.0013,0.0081,6e-4,0.0069,0.0011,0.0017,0,0,1e-4,0,0,0.0024,6e-4,3e-4,0,0,0,0.0051,8e-4,0.0095,2e-4,0.064,0.0033,0.0052,2e-4,1e-4,2e-4,6e-4,1e-4,1e-4,0,9e-4,0,0,0,0,0,1e-4,0,4e-4,0.0044,3e-4,0.0048,4e-4,3e-4,0,0,0,0,0,4e-4,0,1e-4,0,0,0,0.0031,3e-4,0.0021,0,7.999999999999999e-4,0.0344,0.024300000000000002,0.0157,0.0987,0.06760000000000001,0.063,0.0578,0.1558,0.2639,0.1182,0.0564,0.0435,0.13929999999999998,0.0495,0.21439999999999998,0.0349,0.0596,0.0358,0.0545,0.033299999999999996,0.0421,0.2095,0.044,0.08299999999999999
37,145646,139985,0.27369361002964604,0.726306389970354,0.4837,0.5163,32.86279069767442,50921,0.2085,0.7915,0.3003,0.6997,0.2255,0.31679999999999997,0.1387,0.1281,0.10110000000000001,0.08990000000000001,0.0877,0.2205,0.2946,0.0599,9e-4,0.0036,0.0606,3e-4,0,7e-4,0.0088,0.231,0.0141,0.0172,0.14400000000000002,0.6317,0.3261,0.3056,0.3683,0.2549,0.1135,0.5382,0.3668,0.0359,0.0592,0.23559999999999998,0.3634,0.132,0.0645,0.1514,0.05280000000000001,0.6745,0.0418,0.2837,0.8691,0.5379999999999999,0.3741,0.13090000000000002,0.4077,0.24939999999999998,0.5058,0.004,0.0103,0.0018,0.0011,9e-4,0,6e-4,1e-4,1e-4,0.0012,5e-4,1e-4,0,1e-4,2e-4,1e-4,0.0018,6e-4,0.0225,0.0023,0.0189,0.0017,0.0025,0,0,1e-4,0,8e-4,0.0022,0.0034,4e-4,0,0,3e-4,0.0026,5e-4,0.0046,0,0.2125,0.0016,0.0037,1e-4,4e-4,1e-4,0,1e-4,0,0,6e-4,2e-4,0,0,0,1e-4,0,8e-4,4e-4,0.0085,5e-4,0.0123,0.0011,8e-4,0,0,1e-4,0,4e-4,0.0017,9e-4,2e-4,0,0,3e-4,9e-4,2e-4,9e-4,0,0.0026,0.0689,0.034999999999999996,0.025500000000000002,0.11460000000000001,0.09430000000000001,0.0341,0.0467,0.1145,0.2463,0.12179999999999999,0.0626,0.033,0.08449999999999999,0.0276,0.12990000000000002,0.029599999999999998,0.08099999999999999,0.036699999999999997,0.0756,0.054599999999999996,0.043199999999999995,0.2056,0.09269999999999999,0.1391
38,157362,154408,0.24974094606497071,0.7502590539350292,0.4992,0.5008,34.551219512195125,54127.45,0.2277,0.7723,0.2877,0.7123,0.2418,0.2684,0.1489,0.1274,0.10060000000000001,0.11280000000000003,0.1903,0.1663,0.0508,0.0129,0.0012,0.0048,0.3515,9e-4,0.002,0,0.0033,0.1871,0.013,0.016,0.2164,0.7054,0.4674,0.2379,0.2946,0.2065,0.0882,0.3987,0.5013,0.044,0.055999999999999994,0.41640000000000005,0.2297,0.0835,0.0365,0.1484,0.08529999999999999,0.7108,0.0499,0.2393,0.807,0.4081,0.4294,0.193,0.215,0.5128,0.362,0.0021,0.0014,0.0077,6e-4,0.0017,0.0198,2e-4,7e-4,0.0014,0.0132,0.0102,4e-4,0.0018,0,9e-4,0.0012,0.0016,0.0034,0.0079,0.0028,0.3061,8e-4,0.0026,4e-4,0,6e-4,0,0.0028,0.0048,0.0036,8e-4,0,0,0.0027,0.0141,0.0028,0.0012,9e-4,0.2062,7e-4,1e-4,0.0036,2e-4,2e-4,0.0068,0,1e-4,4e-4,0.0099,0.007,1e-4,0.0013,0,3e-4,6e-4,8e-4,0.0015,0.0047,0.0014,0.2483,6e-4,0.0014,0,0,4e-4,0,0.0011,0.003,0.0013,5e-4,0,0,0.0018,0.0064,0.001,5e-4,6e-4,0.0013,0.0799,0.057300000000000004,0.0224,0.0988,0.047299999999999995,0.029,0.0497,0.0947,0.21150000000000002,0.21650000000000003,0.0716,0.0204,0.09259999999999999,0.0348,0.11299999999999999,0.0301,0.0629,0.016,0.152,0.0508,0.0469,0.1905,0.08600000000000001,0.1244
39,176466,174943,0.43359265589363394,0.5664073441063661,0.4847,0.5153,35.254347826086956,114387.93478260869,0.0728,0.9272,0.091,0.909,0.25139999999999996,0.2372,0.17820000000000003,0.12669999999999998,0.09670000000000001,0.11,0.6503,0.0765,0.0456,0.0051,0.001,0.0017,0.1192,0.001,1e-4,0,0.0072,0.0422,0.0405,0.0097,0.0783,0.6052,0.5004,0.1048,0.3948,0.2641,0.1307,0.3667,0.5488999999999999,0.0337,0.0509,0.0878,0.11660000000000001,0.0829,0.0369,0.3282,0.3478,0.8044,0.0358,0.1599,0.9445999999999999,0.8065,0.1609,0.0554,0.6172,0.1607,0.1386,0.0138,0.0047,0.0118,0.0027,0.0063,0.0405,0.0014,0.0025,0.0033,0.0287,0.0102,9e-4,0.0025,3e-4,0.0019,2e-4,0.0017,0.0051,0.0307,0.0079,0.0327,0.0052,0.0028,3e-4,0,0.0011,1e-4,8e-4,0.0044,0.0016,3e-4,0,0,0.0013,0.0071,0.0083,4e-4,7e-4,0.0587,0.0022,0.0018,0.0027,3e-4,6e-4,0.0114,0,3e-4,6e-4,0.0189,0.0061,2e-4,0.0017,3e-4,4e-4,1e-4,2e-4,0.0013,0.0181,0.0038,0.0199,0.0026,0.001,3e-4,0,4e-4,0,2e-4,0.0019,2e-4,1e-4,0,0,2e-4,0.0022,0.0017,1e-4,2e-4,0.0010999999999999998,0.0326,0.0275,0.0174,0.069,0.031,0.0965,0.088,0.2267,0.23909999999999998,0.0945,0.0446,0.032100000000000004,0.2479,0.089,0.30569999999999997,0.0456,0.0184,0.0098,0.0292,0.015,0.0225,0.1431,0.0283,0.0456
4,153594,150369,0.41018428000452223,0.5898157199954778,0.4692,0.5308,44.36,152777.58974358975,0.0262,0.9738,0.0237,0.9763,0.1198,0.2844,0.1327,0.1244,0.1174,0.2215,0.7244,0.062,0.0257,0.0015,9e-4,3e-4,0.1411,0.0012,3e-4,2e-4,0.0038,0.01,0.0242,0.0043,0.0318,0.4166,0.3563,0.0603,0.5834,0.4735,0.1099,0.4113,0.4605,0.0494,0.0787,0.0287,0.0485,0.0686,0.0208,0.412,0.4215,0.8053,0.0255,0.1691,0.9635999999999999,0.9185,0.0582,0.0363,0.7324,0.0566,0.0564,0.0347,2e-4,0.0111,0.0075,0.0101,1e-4,0.0021,0.0026,0.0037,0.0143,0.0028,0.0022,0.0025,6e-4,0.0032,0.0022,0.007,0.0032,0.0043,0.003,0.0319,0.0136,0.017,3e-4,0,8e-4,0,6e-4,0.0036,0.0072,9e-4,0,0,0.0015,0.0054,0.0083,0.0021,4e-4,0.0096,0.005,0,0.001,0.0016,0.001,1e-4,1e-4,1e-4,4e-4,0.0029,2e-4,2e-4,9e-4,0,2e-4,1e-4,5e-4,0.0013,0.0014,7e-4,0.0102,0.0072,0.0079,1e-4,0,1e-4,0,1e-4,5e-4,0.0013,0,0,0,0,0.001,5e-4,2e-4,2e-4,7e-4,0.014100000000000001,0.0327,0.0251,0.0601,0.0155,0.0676,0.24120000000000003,0.2509,0.1741,0.059300000000000005,0.030699999999999998,0.028,0.3722,0.0941,0.2022,0.0697,0.0065,0.0036,0.0157,0.0068000000000000005,0.0194,0.1844,0.0101,0.0154
40,140892,139294,0.18161586285123552,0.8183841371487645,0.4653,0.5347,35.45757575757575,61907,0.1229,0.8771,0.2302,0.7698,0.2108,0.2876,0.14959999999999998,0.1167,0.1117,0.12369999999999999,0.2071,0.0401,0.5343,0.0266,6e-4,0.0024,0.0631,6e-4,0,0,0.0072,0.0873,0.0236,0.007,0.11750000000000001,0.573,0.2949,0.2782,0.427,0.3221,0.1049,0.4949,0.38360000000000005,0.0448,0.0766,0.1389,0.2962,0.1576,0.0547,0.2101,0.14250000000000002,0.7423,0.047,0.2107,0.8656,0.6023,0.2825,0.1344,0.6135,0.1798,0.1418,0.012,0.115,0.0024,5e-4,0.0014,0.0085,0.0011,7e-4,5e-4,0.0142,0.0012,4e-4,0.0013,0,0.0021,0,5e-4,0.0146,0.0182,0.0028,0.0068,0.0021,0.0026,2e-4,0,8e-4,0,9e-4,0.0084,0.0013,1e-4,0,1e-4,1e-4,0.0067,0.0087,0.0079,8e-4,0.0657,0.0033,0.0546,7e-4,0,0,0.0011,2e-4,1e-4,0,0.0087,8e-4,3e-4,9e-4,0,0.001,0,1e-4,0.009,0.0088,0.0019,0.0048,9e-4,0.002,0,0,5e-4,0,3e-4,0.0069,2e-4,1e-4,0,0,0,0.0032,9e-4,0.0022,6e-4,3.0000000000000003e-4,0.0449,0.02,0.0145,0.091,0.0728,0.0464,0.0661,0.13219999999999998,0.3157,0.10439999999999999,0.0544,0.037,0.1345,0.0414,0.1876,0.046200000000000005,0.0996,0.032299999999999995,0.0469,0.045200000000000004,0.0382,0.1774,0.0588,0.0917
41,156711,152600,0.23429226736566186,0.7657077326343381,0.4428,0.5572,36.826829268292684,41453.26829268293,0.2272,0.7728,0.353,0.647,0.23839999999999995,0.2572,0.1287,0.12439999999999998,0.11829999999999999,0.1331,0.061,0.0308,0.7643,0.0379,0.0012,0.001,0.0154,0.0011,3e-4,0,0.0026,0.0586,0.0152,0.0108,0.0688,0.5715,0.1933,0.3782,0.4285,0.3631,0.0653,0.5484,0.30289999999999995,0.0664,0.0824,0.18950000000000003,0.3445,0.16899999999999998,0.0769,0.15310000000000001,0.0669,0.6504,0.0656,0.284,0.8941,0.5408000000000001,0.3973,0.1059,0.7998,0.08410000000000001,0.1098,0.0124,0.0372,9e-4,5e-4,0,0.0013,0.001,0,1e-4,0.0014,4e-4,0,4e-4,0,1e-4,0,1e-4,5e-4,0.004,0.0011,0.0055,2e-4,4e-4,1e-4,0,0,1e-4,2e-4,2e-4,2e-4,0,0,0,0,0.0029,0.0023,0.0168,3e-4,0.0446,0.0054,0.017,3e-4,4e-4,0,2e-4,2e-4,0,0,7e-4,4e-4,0,2e-4,0,1e-4,0,1e-4,2e-4,0.0015,5e-4,0.0038,0,3e-4,0,0,0,1e-4,0,0,1e-4,0,0,0,0,0.0015,6e-4,0.0059,0,0.0013000000000000002,0.0451,0.023,0.0131,0.08560000000000001,0.0938,0.028300000000000002,0.0619,0.1127,0.3402,0.0781,0.0639,0.0531,0.0996,0.0242,0.1426,0.0458,0.1234,0.0532,0.0493,0.059899999999999995,0.049,0.19490000000000002,0.061099999999999995,0.09699999999999999
42,159078,155244,0.2711215892401639,0.7288784107598362,0.4347,0.5653,37.12380952380953,39788.92857142857,0.2454,0.7546,0.3553,0.6447,0.2427,0.23679999999999995,0.124,0.1283,0.1242,0.144,0.0338,0.0867,0.7177,0.0485,0.0016,0.0023,0.0193,4e-4,4e-4,0,0.0073,0.0654,0.0089,0.0077,0.0999,0.6022,0.2249,0.3773,0.3978,0.3666,0.0312,0.5275000000000001,0.3204,0.06420000000000001,0.0879,0.1867,0.41280000000000006,0.1727,0.0705,0.1102,0.0472,0.628,0.0612,0.3108,0.9194,0.5478000000000001,0.41459999999999997,0.0805,0.7387,0.0988,0.1635,0.0054,0.0278,0.0013,3e-4,1e-4,8e-4,6e-4,0,0,0.0133,0.0016,1e-4,0,0,0,0,2e-4,0.0011,0.0105,0.001,0.0048,5e-4,8e-4,0,0,1e-4,0,7e-4,0,1e-4,0,0,2e-4,0,0.0034,0.0018,0.0209,1e-4,0.0572,0.0019,0.0109,5e-4,1e-4,0,2e-4,1e-4,0,0,0.0117,1e-4,0,0,0,0,0,1e-4,8e-4,0.0055,7e-4,0.0028,1e-4,5e-4,0,0,1e-4,0,6e-4,0,0,0,0,0,0,0.0015,1e-4,0.0032,1e-4,0.0025,0.0474,0.0204,0.0101,0.0991,0.1251,0.0131,0.046200000000000005,0.0985,0.344,0.0769,0.0577,0.0592,0.0643,0.0179,0.1075,0.057100000000000005,0.1202,0.0664,0.0393,0.067,0.05210000000000001,0.2087,0.0725,0.1271
43,181019,179273,0.4528345038014648,0.5471654961985352,0.4894,0.5106,41.15,75497.07936507936,0.1114,0.8886,0.1554,0.8446,0.1995,0.2258,0.1376,0.13499999999999998,0.1313,0.17089999999999997,0.4987,0.0773,0.0217,0.0032,0.0013,0.002,0.2885,0.0019,5e-4,1e-4,0.0018,0.0709,0.0192,0.0128,0.0935,0.6594,0.4979,0.1615,0.3406,0.2825,0.0581,0.31789999999999996,0.5513,0.0623,0.0686,0.19039999999999999,0.2336,0.11460000000000001,0.0666,0.2403,0.15430000000000002,0.7355,0.0398,0.2247,0.8887,0.64,0.2727,0.11130000000000001,0.408,0.3169,0.1098,0.0037,5e-4,0.0392,0.0015,0.001,0.0012,1e-4,0.0012,0.0278,0.0522,0.0144,0.0035,0.0046,6e-4,0.0019,0.001,0.0017,0.0112,0.0062,0.0104,0.2089,0.0012,0.0047,3e-4,0,0,0,0.0027,0.0056,0.004,0.001,0,3e-4,0.0013,0.063,0.0016,0.001,0.0026,0.0485,0.0017,2e-4,0.0179,4e-4,0,2e-4,1e-4,2e-4,0.0097,0.0309,0.008,0.0014,0.0031,5e-4,7e-4,4e-4,4e-4,0.0057,0.0034,0.0047,0.1402,5e-4,0.0033,1e-4,0,0,0,0.0019,0.003,0.001,4e-4,0,0,7e-4,0.0255,6e-4,3e-4,0.0013,9e-4,0.0728,0.0429,0.0257,0.088,0.0645,0.0293,0.0974,0.1168,0.2662,0.10020000000000001,0.0502,0.0451,0.16610000000000003,0.0546,0.1424,0.0591,0.0481,0.0257,0.0576,0.0276,0.0339,0.2091,0.08020000000000001,0.0955
44,159761,158844,0.37421621213265843,0.6257837878673416,0.5018,0.4982,30.158,51732.63265306123,0.2221,0.7779,0.3025,0.6975,0.34440000000000004,0.2239,0.1073,0.0949,0.0922,0.1373,0.7235,0.0388,0.0139,0.0022,0.0033,7e-4,0.1398,6e-4,2e-4,1e-4,0.0026,0.049,0.0226,0.0027,0.1959,0.7453,0.6096,0.1356,0.2547,0.2173,0.0374,0.2891,0.5971,0.0611,0.0526,0.2111,0.2999,0.1225,0.0617,0.1829,0.1221,0.6827,0.0399,0.2774,0.899,0.4884,0.4386,0.10099999999999999,0.3255,0.3406,0.0818,0.004,0.001,0.0152,0.0011,8e-4,0.2196,3e-4,8e-4,0.0031,0.1028,0.0148,0.0037,0.0071,3e-4,0.0024,0,0.002,0.0193,0.0057,0.0118,0.093,3e-4,0.0014,6e-4,0,0,0,4e-4,0.0108,0.0024,2e-4,0,3e-4,0.0085,0.01,0.0461,3e-4,0.0024,0.0503,0.0014,4e-4,0.008,4e-4,2e-4,0.0679,2e-4,3e-4,9e-4,0.0723,0.0097,0.0014,0.0056,2e-4,0.0016,0,9e-4,0.0095,0.0039,0.0067,0.0654,1e-4,6e-4,5e-4,0,0,0,3e-4,0.0089,8e-4,1e-4,0,0,0.0046,0.0051,0.011,1e-4,0.0013,0.0019,0.0691,0.0442,0.053700000000000005,0.0984,0.0616,0.021500000000000002,0.0767,0.099,0.3406,0.07189999999999999,0.041499999999999995,0.019799999999999998,0.1286,0.0385,0.17559999999999998,0.044800000000000006,0.06949999999999999,0.011399999999999999,0.0435,0.033100000000000004,0.031100000000000003,0.25880000000000003,0.07189999999999999,0.0934
45,164339,163806,0.4771803230650892,0.5228196769349108,0.4549,0.5451,38.38275862068966,71425.89655172414,0.0998,0.9002,0.1723,0.8277,0.23640000000000003,0.2317,0.1299,0.1201,0.1251,0.15649999999999997,0.2011,0.0213,0.6486,0.0228,0.0017,0.0013,0.0469,2e-4,0,0,0.0059,0.0337,0.0132,0.0032,0.0968,0.7082,0.3938,0.3144,0.2918,0.2505,0.0413,0.425,0.4396,0.0544,0.0809,0.1157,0.3004,0.1825,0.0764,0.2023,0.12259999999999999,0.7394,0.0447,0.2159,0.8934,0.6496,0.26849999999999996,0.10660000000000001,0.6817,0.1717,0.0695,0.013,0.123,0.0015,0.001,0.0011,0.0069,4e-4,3e-4,0.0011,0.0182,0.0022,5e-4,0.0014,4e-4,0.001,2e-4,6e-4,0.0236,0.0082,0.0023,0.0079,5e-4,6e-4,3e-4,0,2e-4,0,5e-4,0.0025,0.0016,1e-4,0,5e-4,0.0011,0.0072,0.0104,0.0078,8e-4,0.0314,0.0053,0.0715,6e-4,2e-4,3e-4,0.0021,1e-4,0,4e-4,0.0131,0.001,4e-4,6e-4,4e-4,8e-4,1e-4,4e-4,0.0156,0.006,0.0014,0.0046,3e-4,4e-4,1e-4,0,1e-4,0,4e-4,0.002,5e-4,1e-4,0,0,8e-4,0.0032,0.0045,0.0026,4e-4,4e-4,0.0486,0.0218,0.0135,0.08940000000000001,0.0897,0.023,0.0668,0.0936,0.38649999999999995,0.0683,0.0486,0.049600000000000005,0.1192,0.0342,0.1395,0.07619999999999999,0.12000000000000001,0.0387,0.0362,0.0416,0.0379,0.198,0.0614,0.097
46,172318,171585,0.6401550252061661,0.359844974793834,0.4537,0.5463,40.355223880597016,84607.49253731343,0.0742,0.9258,0.1371,0.8629,0.22139999999999999,0.2127,0.12369999999999999,0.12919999999999998,0.1498,0.16290000000000002,0.2588,0.0304,0.5659,0.0168,8e-4,4e-4,0.0714,0.0012,0,1e-4,0.0034,0.0334,0.0127,0.0048,0.0658,0.7486,0.4487,0.2999,0.2514,0.2236,0.0278,0.3892,0.47130000000000005,0.06,0.0794,0.1108,0.2953,0.1751,0.0897,0.2013,0.1281,0.7437,0.0422,0.2141,0.9227,0.7335,0.2142,0.07730000000000001,0.6775,0.1452,0.0586,0.0144,0.1098,0.0086,4e-4,4e-4,0.0023,6e-4,0,0.0031,0.0392,0.0016,2e-4,0.0027,0,1e-4,0,0.0026,0.0035,0.0027,0.002,0.0324,3e-4,9e-4,0,0,0,0,0.0016,0.0014,0.0037,1e-4,0,3e-4,6e-4,0.0077,0.0137,0.0067,3e-4,0.0192,0.0052,0.0532,0.0027,2e-4,1e-4,8e-4,0,0,0.001,0.0198,5e-4,1e-4,0.0014,0,0,0,0.0011,0.0017,0.0019,8e-4,0.0204,0,4e-4,0,0,0,0,0.001,5e-4,0.0013,1e-4,0,0,6e-4,0.0045,0.0043,0.0023,1e-4,0.001,0.053,0.0194,0.0158,0.0886,0.09519999999999999,0.021900000000000003,0.0706,0.08399999999999999,0.3944,0.0607,0.0394,0.056,0.1202,0.0368,0.1391,0.1043,0.0899,0.0433,0.0277,0.0329,0.035,0.2028,0.07269999999999999,0.09530000000000001
