assembly,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
33,128138,127822,0.7909280092628812,0.2090719907371188,0.4717,0.5283,42.06346153846154,87947.57692307692,0.0555,0.9445,0.1201,0.8799,0.1956,0.23099999999999996,0.1132,0.1462,0.15,0.1638,0.0762,0.046,0.5556,0.014,0.0048,0.0013,0.1611,0.001,4e-4,3e-4,0.0365,0.0618,0.0302,0.0108,0.0525,0.8048,0.514,0.2908,0.1952,0.1673,0.0279,0.39,0.47819999999999996,0.0584,0.0735,0.1348,0.2944,0.19640000000000002,0.089,0.1782,0.1073,0.7487,0.0559,0.1953,0.9043,0.7099000000000001,0.21960000000000002,0.0957,0.6557,0.1374,0.1042,0.0158,0.0829,0.0019,8e-4,0.0011,3e-4,1e-4,0,0.0021,8e-4,8e-4,1e-4,4e-4,7e-4,4e-4,0.0057,0.0167,0.0129,0.0437,0.0045,0.0078,0,0.0011,0,0,3e-4,0,8e-4,0.0126,0.0126,5e-4,0,4e-4,4e-4,0.0016,9e-4,0.0083,0.001,0.0424,0.0051,0.0309,5e-4,5e-4,1e-4,1e-4,0,0,9e-4,4e-4,0,0,0,7e-4,2e-4,0.0031,0.0075,0.0046,0.0187,0.0028,0.0045,0,8e-4,0,0,1e-4,0,5e-4,0.0055,0.0036,0,0,3e-4,3e-4,8e-4,3e-4,0.0018,4e-4,0.001,0.0523,0.0258,0.0141,0.0977,0.1191,0.0219,0.0644,0.0864,0.34109999999999996,0.0716,0.0414,0.06319999999999999,0.10819999999999999,0.0312,0.1086,0.08249999999999999,0.0887,0.0494,0.04,0.043899999999999995,0.0326,0.2172,0.0751,0.1225
34,112252,111868,0.32070833482318445,0.6792916651768155,0.5139,0.4861,38.57826086956522,59339.608695652176,0.1256,0.8744,0.1578,0.8422,0.20560000000000003,0.2308,0.1741,0.1416,0.10790000000000001,0.13989999999999997,0.1104,0.2833,0.0233,0.0096,0.0017,0.0044,0.2685,0.0019,1e-4,3e-4,0.0021,0.2653,0.0141,0.015,0.18580000000000002,0.6797,0.4546,0.2251,0.3203,0.2502,0.0701,0.4129,0.46540000000000004,0.0517,0.0701,0.2627,0.33999999999999997,0.1011,0.0714,0.1481,0.0767,0.7603,0.0299,0.2098,0.7791000000000001,0.5128,0.3133,0.22089999999999999,0.1379,0.49129999999999996,0.5571,0.0045,0.0017,0.0033,0.0059,8e-4,0,4e-4,8e-4,0.0085,0.0053,0.004,0.002,0.0012,9e-4,4e-4,0.0034,0.0159,0.0106,0.0969,0.003,0.0703,0.0024,0.0107,1e-4,0,0.0015,1e-4,0.0028,0.0144,0.0173,0.0035,0,4e-4,1e-4,0.0073,0.0016,0.0016,0.0013,0.3338,8e-4,7e-4,0.0013,0.0041,2e-4,0,0,0,0.0026,0.0033,0.0014,1e-4,9e-4,3e-4,4e-4,0.0018,0.0083,0.0045,0.0494,0.0013,0.0445,0.0015,0.0067,1e-4,0,8e-4,1e-4,0.0021,0.008,0.0069,0.0018,0,4e-4,0,0.0015,8e-4,1e-4,8e-4,0.0024,0.1041,0.0409,0.016300000000000002,0.1109,0.103,0.0188,0.0614,0.1064,0.1519,0.1752,0.0791,0.029599999999999998,0.0916,0.0316,0.0767,0.0344,0.032299999999999995,0.0233,0.1191,0.0873,0.0428,0.1862,0.11,0.1647
35,107631,105814,0.3476666603663031,0.6523333396336969,0.4994,0.5006,37.646153846153844,57640.07692307692,0.1293,0.8707,0.2141,0.7859,0.22469999999999996,0.2519,0.1426,0.1305,0.1258,0.1245,0.0747,0.1941,0.1176,0.0167,0.0013,0.0022,0.2713,0.0057,1e-4,1e-4,0.0047,0.2793,0.0123,0.02,0.1891,0.719,0.446,0.273,0.281,0.221,0.06,0.3991,0.47509999999999997,0.055600000000000004,0.0702,0.23740000000000003,0.3402,0.1219,0.073,0.1614,0.0662,0.7407,0.0344,0.2249,0.7837000000000001,0.5064,0.3468,0.2163,0.213,0.44020000000000004,0.4898,0.0113,0.0083,0.0017,0.0015,7e-4,0,1e-4,0,0.003,0.0146,0.0043,0.001,8e-4,0.001,0.0024,0.0036,0.008,0.0145,0.0359,0.0018,0.1019,0.001,0.0085,5e-4,0,0.0032,2e-4,7e-4,0.0145,0.0242,0.0044,0,6e-4,6e-4,0.0054,4e-4,0.0167,0,0.2781,0.0041,0.0017,4e-4,7e-4,1e-4,0,0,0,0.0017,0.009,0.0024,4e-4,3e-4,6e-4,8e-4,0.0022,0.0023,0.0048,0.0195,3e-4,0.0712,2e-4,0.0055,0,0,0.0026,1e-4,5e-4,0.009,0.0106,0.0032,0,4e-4,3e-4,0.0014,2e-4,0.0056,0,0.0015,0.09659999999999999,0.039400000000000004,0.0215,0.11410000000000001,0.0908,0.0166,0.0552,0.09809999999999999,0.18339999999999998,0.17509999999999998,0.0815,0.026099999999999998,0.07869999999999999,0.0279,0.0666,0.030799999999999998,0.056100000000000004,0.019700000000000002,0.1264,0.0708,0.0533,0.2061,0.1079,0.1557
36,120075,119560,0.25414854466376713,0.7458514553362329,0.4939,0.5061,35.61538461538461,77547.38461538461,0.072,0.928,0.0887,0.9113,0.13779999999999998,0.358,0.1573,0.11130000000000001,0.1002,0.1354,0.5718,0.1301,0.0232,0.0058,4e-4,0.0012,0.1496,0.0011,3e-4,1e-4,0.0033,0.0782,0.0236,0.0113,0.06589999999999999,0.4821,0.3609,0.1211,0.5179,0.3443,0.1737,0.4504,0.4314,0.0521,0.06620000000000001,0.11470000000000001,0.2019,0.10089999999999999,0.0623,0.3348,0.1854,0.8108,0.0359,0.1533,0.9052,0.7453,0.1889,0.0948,0.416,0.2423,0.2136,0.0106,5e-4,0.0228,0.0184,0.0044,6e-4,7e-4,3e-4,0.0887,0.0056,0.0049,0.0194,0.0093,0.0013,9e-4,0.0011,0.002,0.0097,0.038,0.0219,0.0218,0.0106,0.013,7e-4,0,0.0043,4e-4,0.0023,0.009,0.0131,0.0012,0,0,0.0025,0.0277,0.0019,7e-4,2e-4,0.1026,0.002,2e-4,0.0079,0.0072,7e-4,2e-4,0,0,0.0304,0.0021,0.0013,0.0089,0.0023,2e-4,4e-4,2e-4,2e-4,0.0034,0.017,0.0083,0.0121,0.0052,0.0064,7e-4,0,0.0029,0,0.0015,0.003,0.0024,6e-4,0,0,0.0011,0.0106,2e-4,1e-4,0,8e-4,0.049100000000000005,0.0283,0.0194,0.0866,0.054,0.0655,0.0893,0.1676,0.20290000000000002,0.1537,0.0538,0.029200000000000004,0.2134,0.07100000000000001,0.1985,0.0428,0.015099999999999999,0.0123,0.0716,0.0361,0.0368,0.1916,0.0468,0.06420000000000001
37,133044,132192,0.23628510045993706,0.7637148995400629,0.498,0.502,36.41081081081081,70504.19444444444,0.1069,0.8931,0.1356,0.8644,0.19340000000000002,0.2953,0.1705,0.13080000000000003,0.1041,0.1056,0.3938,0.2087,0.0678,0.0115,4e-4,0.0031,0.1716,0.0012,4e-4,0,0.0049,0.1012,0.0184,0.0169,0.083,0.5737,0.3849,0.1888,0.4263,0.3075,0.1189,0.43579999999999997,0.4572,0.041,0.066,0.14220000000000002,0.2577,0.12519999999999998,0.0667,0.2492,0.1591,0.7639,0.039,0.1971,0.8889999999999999,0.6708000000000001,0.2475,0.1109,0.4026,0.2888,0.2975,0.0069,7e-4,0.0111,0.0052,0.0073,0,0.0012,0.0011,0.0058,0.0056,0.0495,0.0082,0.0067,0.0058,4e-4,0.0012,0.0072,0.0016,0.0387,0.0226,0.0356,0.0051,0.0167,1e-4,0,0.0015,0,5e-4,0.0161,0.0145,0.0033,0,0,0.002,0.0138,0.0018,0.0014,6e-4,0.142,0.0014,3e-4,0.0041,0.0018,0.0015,0,4e-4,0,0.0016,0.0018,0.023,0.0047,0.0036,0.0021,1e-4,6e-4,0.0033,9e-4,0.0244,0.012,0.02,0.0024,0.0105,0,0,0.0012,0,2e-4,0.0101,0.004,0.002,0,0,0.0014,0.0072,0,2e-4,0,0.0014,0.0668,0.0376,0.0206,0.0804,0.0692,0.042800000000000005,0.0978,0.16499999999999998,0.1985,0.1324,0.0521,0.0353,0.1845,0.0542,0.1411,0.046700000000000005,0.0308,0.0235,0.068,0.0559,0.0412,0.1855,0.072,0.0968
38,137928,137670,0.42774751216677565,0.5722524878332244,0.5033,0.4967,36.437777777777775,71954.37777777777,0.0972,0.9028,0.1394,0.8606,0.2264,0.262,0.1404,0.1399,0.1214,0.1097,0.2279,0.3017,0.0316,0.0123,0.0012,0.0027,0.1733,0.0012,0,0,0.0244,0.1724,0.0189,0.0324,0.0841,0.7649,0.4926,0.2723,0.2351,0.1604,0.0747,0.395,0.4917,0.0461,0.0673,0.2221,0.31,0.1526,0.0731,0.1718,0.07020000000000001,0.734,0.0418,0.2242,0.8395,0.5919,0.2716,0.1605,0.4049,0.2681,0.3899,0.0013,0.002,0.0113,4e-4,0.0039,4e-4,0.0011,1e-4,0.0013,0.0023,0.0333,0.0036,0.0027,3e-4,1e-4,3e-4,0.0046,0.0064,0.0494,0.0159,0.0355,6e-4,0.0016,1e-4,0,4e-4,0,0.0022,0.0043,0.0099,5e-4,0,0,8e-4,0.0078,0,7e-4,2e-4,0.1657,3e-4,6e-4,0.0051,1e-4,8e-4,1e-4,3e-4,0,6e-4,9e-4,0.018,0.0014,0.0013,0,1e-4,2e-4,0.0022,0.0027,0.0229,0.0075,0.0243,5e-4,0.001,1e-4,0,2e-4,0,0.0014,0.0019,0.0022,2e-4,0,0,6e-4,0.0042,0,6e-4,1e-4,7e-4,0.1007,0.05,0.026099999999999998,0.0938,0.0856,0.0184,0.061399999999999996,0.11069999999999999,0.219,0.1357,0.0663,0.0316,0.0975,0.0306,0.0947,0.0359,0.0504,0.029400000000000003,0.08,0.06520000000000001,0.046599999999999996,0.2096,0.1143,0.1459
39,123733,123343,0.2320520824043521,0.767947917595648,0.5074,0.4926,36.208333333333336,55606.208333333336,0.1274,0.8726,0.211,0.789,0.22340000000000002,0.2588,0.1625,0.1288,0.1031,0.12359999999999999,0.073,0.2622,0.0114,0.0078,9e-4,0.0071,0.28,0.0028,0,4e-4,0.0032,0.3239,0.011,0.0162,0.21710000000000002,0.6875,0.4183,0.2692,0.3125,0.2188,0.0936,0.4123,0.4685,0.042199999999999994,0.0771,0.29190000000000005,0.32789999999999997,0.1064,0.0552,0.1532,0.0656,0.7637,0.0334,0.2029,0.7157,0.4234,0.3521,0.2842,0.1272,0.5487,0.5648,0.0012,0.0014,0.002,0.002,4e-4,3e-4,7e-4,0,0.0032,0.0048,0.0016,0.0012,0.001,1e-4,3e-4,0.0028,0.0112,0.0111,0.0666,0.0013,0.1062,0.0024,0.0143,0,0,0.0101,0,8e-4,0.0145,0.0335,0.0074,0,3e-4,4e-4,0.0037,0,2e-4,0.0011,0.354,5e-4,0.001,0.001,0.0011,0,0,0,0,0.0013,0.002,0.0011,2e-4,8e-4,0,1e-4,0.0018,0.0057,0.0057,0.0406,5e-4,0.0802,0.0011,0.0105,0,0,0.0063,0,6e-4,0.0103,0.0146,0.0049,0,3e-4,1e-4,0.002,0,0,4e-4,0.0012000000000000001,0.1205,0.039099999999999996,0.0247,0.1,0.0718,0.0166,0.044700000000000004,0.1022,0.16620000000000001,0.2108,0.0877,0.014499999999999999,0.0818,0.0263,0.0573,0.0337,0.0426,0.0148,0.1522,0.09409999999999999,0.0587,0.1769,0.1254,0.1363
40,121327,119634,0.3747847601852316,0.6252152398147683,0.4691,0.5309,44.156666666666666,50469.3,0.1681,0.8319,0.1525,0.8475,0.16419999999999998,0.21550000000000002,0.1296,0.16160000000000002,0.139,0.1901,0.1414,0.0516,0.0219,0.0049,0.0023,9e-4,0.6568,0.0017,3e-4,1e-4,0.0057,0.0864,0.0151,0.0109,0.1283,0.7009,0.4974,0.2035,0.2991,0.2392,0.0599,0.2904,0.5618000000000001,0.0764,0.0712,0.2741,0.29550000000000004,0.1155,0.0996,0.1331,0.0824,0.6956,0.0265,0.2779,0.7602,0.5083,0.2744,0.2398,0.1937,0.5938,0.1412,0.0013,0.0018,0.0177,7e-4,0.0013,6e-4,0,2e-4,0.0145,0.0074,0.002,0.004,0.0019,6e-4,0.005,0.0044,0.0099,0.0118,0.028,0.0052,0.3962,0.002,0.1247,0,0,9e-4,0,0.0021,0.0037,0.0115,0.0012,0,0,7e-4,0.0029,5e-4,4e-4,1e-4,0.0868,3e-4,6e-4,0.0067,2e-4,3e-4,0,0,0,0.0044,0.0052,8e-4,0.0019,4e-4,3e-4,0.002,0.0033,0.0056,0.0055,0.0174,0.0039,0.3344,0.0011,0.102,0,0,7e-4,0,0.0015,0.0019,0.0042,3e-4,0,0,3e-4,0.0015,1e-4,2e-4,0,0.0014999999999999998,0.0631,0.0401,0.024800000000000003,0.1058,0.067,0.0216,0.0779,0.0964,0.20149999999999998,0.156,0.1187,0.0255,0.11399999999999999,0.0414,0.0811,0.0508,0.059699999999999996,0.014199999999999999,0.1009,0.0494,0.08360000000000001,0.2266,0.0712,0.107
41,123844,122898,0.5871373008511123,0.4128626991488877,0.4802,0.5198,41.08536585365854,75714.09756097561,0.0959,0.9041,0.1762,0.8238,0.2205,0.20700000000000002,0.11879999999999999,0.1261,0.1405,0.1867,0.4866,0.035,0.2564,0.0125,6e-4,0.0014,0.147,6e-4,3e-4,0,0.0034,0.0281,0.0241,0.0039,0.0833,0.7054,0.4975,0.2079,0.2946,0.26,0.0345,0.3307,0.5273,0.0663,0.0756,0.1202,0.2666,0.14229999999999998,0.0747,0.2378,0.1584,0.7264,0.0468,0.2268,0.9153,0.676,0.27090000000000003,0.0847,0.5332,0.2582,0.0551,0.0071,0.0516,0.005,9e-4,9e-4,0.0068,3e-4,0,0.003,0.1674,0.0029,0.0027,0.0048,5e-4,0.0018,7e-4,0.0014,0.0197,0.0026,0.0068,0.0689,1e-4,0.0025,1e-4,0,1e-4,0,0.0049,0.013,0.0032,0,0,0,8e-4,0.0134,0.0125,0.0031,0.0022,0.0233,0.0026,0.0273,0.0016,5e-4,0,0.0017,1e-4,0,0.001,0.1059,0.002,0.0019,0.0026,2e-4,8e-4,2e-4,2e-4,0.0116,0.0016,0.0043,0.042,0,0.0016,1e-4,0,0,0,0.0034,0.0062,0.0016,0,0,0,4e-4,0.0071,0.0041,8e-4,0.0015,0.0016,0.0586,0.0309,0.026799999999999997,0.0852,0.0837,0.0291,0.0782,0.1046,0.3489,0.0618,0.0432,0.0472,0.1406,0.0599,0.14229999999999998,0.0845,0.0856,0.024,0.0382,0.030399999999999996,0.0314,0.1993,0.0667,0.09709999999999999
42,116741,115912,0.23145144592449443,0.7685485540755056,0.455,0.545,35.70967741935484,67345.25806451614,0.1125,0.8875,0.2315,0.7685,0.23500000000000001,0.2668,0.1451,0.11710000000000001,0.11100000000000002,0.1252,0.2007,0.037,0.5694,0.0262,0.0013,0.0016,0.0454,7e-4,0,0,0.0078,0.0855,0.0205,0.004,0.12560000000000002,0.6398,0.3302,0.3097,0.3602,0.2871,0.073,0.4752,0.3997,0.044700000000000004,0.08030000000000001,0.1409,0.3074,0.1729,0.0591,0.1959,0.12390000000000001,0.7344,0.0453,0.2202,0.8571000000000001,0.583,0.2972,0.1429,0.6051,0.206,0.1395,0.014,0.1505,0.0018,0.0011,0.0011,0.0062,0.0014,7e-4,5e-4,0.0087,9e-4,9e-4,0.0012,0,7e-4,3e-4,2e-4,0.0056,0.0152,0.0012,0.0062,8e-4,0.0026,5e-4,0,1e-4,0,0.0011,0.0049,5e-4,3e-4,0,0,4e-4,0.0086,0.0101,0.0069,2e-4,0.0735,0.0034,0.0827,7e-4,1e-4,2e-4,0.002,2e-4,0,0,0.0061,7e-4,8e-4,5e-4,0,5e-4,2e-4,1e-4,0.0032,0.0075,6e-4,0.0041,2e-4,0.0026,1e-4,0,0,0,4e-4,0.004,0,2e-4,0,0,3e-4,0.0038,0.0041,0.0032,0,3e-4,0.041299999999999996,0.0203,0.0139,0.09609999999999999,0.0755,0.033299999999999996,0.0697,0.11649999999999999,0.3448,0.0902,0.0548,0.0434,0.1257,0.036699999999999997,0.15889999999999999,0.053,0.112,0.036199999999999996,0.041999999999999996,0.0542,0.0409,0.19240000000000002,0.0579,0.0901
43,134620,131943,0.21853376079064443,0.7814662392093555,0.4666,0.5334,35.77647058823529,55085.529411764706,0.132,0.868,0.241,0.759,0.20679999999999998,0.2933,0.132,0.11739999999999999,0.1117,0.1389,0.2461,0.0208,0.5953,0.0301,9e-4,0.0012,0.0274,6e-4,0,1e-4,0.0062,0.0408,0.0222,0.0084,0.0928,0.5474,0.277,0.2704,0.4526,0.3345,0.1181,0.5081,0.3629,0.047,0.08199999999999999,0.1368,0.2832,0.1728,0.0561,0.2098,0.1413,0.7321,0.0517,0.2162,0.8943,0.6443000000000001,0.2853,0.1056,0.6924,0.1192,0.0932,0.0136,0.0936,0.0012,8e-4,0.0014,0.0256,6e-4,7e-4,1e-4,0.007,0.001,5e-4,1e-4,4e-4,3e-4,1e-4,5e-4,4e-4,0.0036,0.003,0.0067,0.0018,0.0014,0,0,2e-4,0,1e-4,0.0016,0.0011,0,0,1e-4,3e-4,0.0053,0.0306,0.0104,2e-4,0.0368,0.0047,0.0449,5e-4,1e-4,2e-4,0.0025,2e-4,1e-4,0,0.0024,8e-4,3e-4,0,4e-4,2e-4,0,1e-4,2e-4,8e-4,0.0015,0.0048,0.0013,6e-4,0,0,0,0,1e-4,6e-4,2e-4,0,0,0,1e-4,0.0035,0.0079,0.0034,0,1e-4,0.042199999999999994,0.0173,0.0153,0.0839,0.0639,0.0445,0.0727,0.1347,0.3335,0.09290000000000001,0.0605,0.0383,0.12329999999999999,0.0445,0.20390000000000003,0.047400000000000005,0.09000000000000001,0.0339,0.047,0.0408,0.044,0.1986,0.0525,0.0741
44,123334,122213,0.4110364691153969,0.5889635308846031,0.4914,0.5086,35.329032258064515,84713.51612903226,0.112,0.888,0.1576,0.8424,0.2719,0.2217,0.1543,0.1239,0.10289999999999999,0.125,0.6005,0.0818,0.0484,0.0037,9e-4,0.0028,0.1602,7e-4,0,0,0.0061,0.0558,0.0315,0.0077,0.1122,0.6484,0.5211,0.1273,0.3516,0.2595,0.0921,0.352,0.5490999999999999,0.0472,0.0519,0.13590000000000002,0.1662,0.1096,0.0523,0.2714,0.2647,0.758,0.038,0.204,0.9167,0.6801999999999999,0.262,0.08329999999999999,0.4891,0.2621,0.137,0.0059,0.0084,0.009,0.0019,0.0034,0.0721,3e-4,0.001,0.0024,0.0629,0.0155,0.0012,0.0046,4e-4,0.0034,0,0.0017,0.0334,0.055,0.0106,0.032,0.0035,0.0024,5e-4,0,0.0024,0,4e-4,0.0113,0.0019,4e-4,0,1e-4,0.0022,0.0074,0.0146,3e-4,0.0016,0.0674,0.0011,0.003,0.0029,4e-4,1e-4,0.0203,0,3e-4,6e-4,0.0438,0.0097,4e-4,0.0034,4e-4,0.0015,0,4e-4,0.0189,0.0338,0.0069,0.0225,0.0022,9e-4,4e-4,0,0.0011,0,3e-4,0.0096,2e-4,1e-4,0,0,0.001,0.0028,0.0042,2e-4,0.0013,5e-4,0.0492,0.023100000000000002,0.028900000000000002,0.077,0.053,0.07250000000000001,0.0779,0.1592,0.2772,0.0971,0.0505,0.0339,0.19669999999999999,0.0668,0.2592,0.0425,0.0385,0.0115,0.0395,0.0245,0.0291,0.1665,0.0471,0.0781
45,128591,127703,0.38371847176652074,0.6162815282334793,0.486,0.514,38.921951219512195,61940.51219512195,0.1279,0.8721,0.2546,0.7454,0.23470000000000002,0.21800000000000003,0.1191,0.1177,0.1184,0.1921,0.6742,0.046,0.0217,0.0028,0.0018,0.0016,0.1572,6e-4,0.0012,0,0.0013,0.0604,0.0292,0.0021,0.1243,0.6681,0.5141,0.1541,0.3319,0.2831,0.0488,0.2764,0.5651,0.07540000000000001,0.08310000000000001,0.1507,0.2404,0.1124,0.0729,0.2488,0.1749,0.7117,0.0421,0.2462,0.8748,0.5787,0.32039999999999996,0.1252,0.3194,0.4143,0.0845,0.0053,0.0015,0.0118,1e-4,6e-4,0.0098,0.0013,8e-4,0.0014,0.3013,0.0035,0.0027,0.0169,0.0017,0.0021,0,0.0028,0.0291,0.0102,0.0081,0.0917,5e-4,0.0035,2e-4,0,1e-4,0,0.0029,0.0197,0.0041,7e-4,0,1e-4,3e-4,0.0286,0.0266,4e-4,0.0053,0.0476,0.0013,0.0011,0.006,0,3e-4,0.0042,3e-4,3e-4,4e-4,0.2026,0.0026,0.0011,0.0115,0.0014,0.0012,0,4e-4,0.0145,0.0055,0.0045,0.0632,2e-4,0.002,0,0,1e-4,0,0.0023,0.0132,0.0012,4e-4,0,0,2e-4,0.0137,0.0074,2e-4,0.0034,7.999999999999999e-4,0.06330000000000001,0.0266,0.0511,0.10540000000000001,0.0825,0.0211,0.0865,0.0994,0.3157,0.08,0.0412,0.026699999999999998,0.15389999999999998,0.058499999999999996,0.1134,0.07039999999999999,0.094,0.0134,0.0505,0.0284,0.0292,0.2237,0.0622,0.1023
46,130854,128363,0.38370870110545874,0.6162912988945413,0.4663,0.5337,44.875,68781.97674418605,0.1393,0.8607,0.2559,0.7441,0.19169999999999998,0.20400000000000001,0.1202,0.12110000000000001,0.1345,0.22820000000000001,0.5768,0.0703,0.0897,0.0075,0.0018,2e-4,0.1521,0.0013,7e-4,1e-4,0.003,0.0661,0.0199,0.0105,0.07150000000000001,0.6161,0.43120000000000003,0.1848,0.3839,0.3361,0.0478,0.31620000000000004,0.5081,0.08320000000000001,0.0924,0.15580000000000002,0.2363,0.1098,0.074,0.2394,0.1846,0.6979,0.0457,0.2564,0.9027000000000001,0.6399,0.29479999999999995,0.0973,0.4338,0.3045,0.1016,0.0032,0.0055,0.0243,0.0015,0.0012,0.0042,1e-4,8e-4,0.0251,0.1942,0.0076,0.0038,0.0052,1e-4,0.0013,8e-4,0.002,0.0103,0.006,0.0074,0.1029,6e-4,0.004,9e-4,0,1e-4,0,9e-4,0.0035,0.0033,6e-4,0,1e-4,0.0013,0.0324,0.0047,0.0023,0.0026,0.0419,0.0013,0.0017,0.0092,4e-4,1e-4,0.0018,1e-4,1e-4,0.0088,0.1249,0.0045,0.0012,0.0035,0,2e-4,3e-4,5e-4,0.0049,0.004,0.0031,0.0679,2e-4,0.0027,4e-4,0,0,0,6e-4,0.0023,8e-4,1e-4,0,0,6e-4,0.012,0.0019,0.0013,0.0012,0.001,0.057999999999999996,0.0291,0.023100000000000002,0.0927,0.0675,0.0266,0.1073,0.11330000000000001,0.3031,0.07930000000000001,0.048799999999999996,0.05,0.162,0.054000000000000006,0.14029999999999998,0.0655,0.0676,0.0311,0.047,0.024300000000000002,0.0338,0.21589999999999998,0.06730000000000001,0.0913
