GEO_ID,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
Bronx,1435068,1390958,0.20974177509313724,0.7902582249068627,0.4714,0.5286,35.35119760479042,45628.96625766871,0.2477,0.7523,0.3663,0.6337,0.2497,0.26159999999999994,0.12639999999999998,0.127,0.10999999999999999,0.12510000000000002,0.0914,0.1285,0.2923,0.0595,0.0023,0.0048,0.0359,0.0011,3e-4,7e-4,0.0063,0.3382,0.0114,0.0276,0.12469999999999999,0.6458,0.2769,0.3689,0.3542,0.3111,0.0431,0.48429999999999995,0.36929999999999996,0.0533,0.0931,0.2724,0.2792,0.174,0.0737,0.1291,0.0715,0.6591,0.0712,0.2697,0.8738999999999999,0.499,0.434,0.1261,0.4174,0.2578,0.4716,0.0109,0.0036,0.0072,8e-4,6e-4,3e-4,3e-4,0,0.0015,0.002,8e-4,0.001,0.0011,1e-4,3e-4,2e-4,9e-4,0.0024,0.0114,0.0089,0.0049,6e-4,0.0017,8e-4,0,3e-4,0,0.0022,0.0014,0.0035,3e-4,0,2e-4,6e-4,0.0043,7e-4,0.0349,7e-4,0.2125,0.0045,9e-4,0.0027,2e-4,1e-4,1e-4,0,0,4e-4,0.0012,3e-4,5e-4,5e-4,0,1e-4,1e-4,3e-4,9e-4,0.0062,0.0038,0.0032,3e-4,0.0012,3e-4,0,2e-4,0,0.0015,5e-4,9e-4,1e-4,0,1e-4,3e-4,0.0024,1e-4,0.011,4e-4,0.0011,0.051500000000000004,0.0329,0.0166,0.109,0.0783,0.0162,0.0639,0.0899,0.3291,0.1193,0.0555,0.0368,0.0883,0.0207,0.1001,0.044700000000000004,0.10189999999999999,0.0411,0.0738,0.0722,0.049999999999999996,0.2168,0.0682,0.12229999999999999
Brooklyn,2589974,2548731,0.33827540058170125,0.6617245994182988,0.4738,0.5262,36.378933333333336,67743.38523489932,0.1593,0.8407,0.2347,0.7653,0.2295,0.2662,0.1385,0.1185,0.1111,0.1361,0.364,0.0732,0.2997,0.0222,0.0014,0.002,0.1178,8e-4,4e-4,1e-4,0.0045,0.0825,0.0218,0.0098,0.10200000000000001,0.6145,0.3799,0.2345,0.3855,0.291,0.0946,0.43620000000000003,0.4405,0.053000000000000005,0.0703,0.17620000000000002,0.2574,0.1309,0.0606,0.2248,0.15009999999999998,0.7216,0.0466,0.2318,0.8948,0.6207,0.3074,0.1051,0.5345,0.2358,0.1662,0.0087,0.0307,0.0099,0.001,0.0018,0.035,6e-4,7e-4,0.0033,0.0533,0.0084,0.0011,0.0031,3e-4,0.001,3e-4,0.0014,0.0084,0.0093,0.0048,0.0724,0.0015,0.0024,2e-4,0,3e-4,0,0.0014,0.0051,0.002,4e-4,0,1e-4,0.0013,0.0122,0.0101,0.0056,0.0011,0.0751,0.0026,0.0152,0.0041,3e-4,2e-4,0.0118,1e-4,1e-4,0.001,0.0351,0.0049,5e-4,0.002,2e-4,4e-4,1e-4,4e-4,0.0044,0.005,0.0024,0.0517,6e-4,0.0012,1e-4,0,2e-4,0,8e-4,0.0031,6e-4,2e-4,0,0,7e-4,0.0057,0.0028,0.0016,6e-4,0.0011,0.0506,0.0316,0.0219,0.09190000000000001,0.0669,0.046,0.07450000000000001,0.1414,0.2838,0.10089999999999999,0.0513,0.038,0.1514,0.0506,0.1792,0.049600000000000005,0.0704,0.0276,0.052599999999999994,0.037000000000000005,0.0366,0.1961,0.0596,0.0895
Manhattan,1631993,1571263,0.23448016022779128,0.7655198397722087,0.4734,0.5266,38.61779359430605,99467.43884892086,0.1181,0.8819,0.1396,0.8604,0.144,0.31400000000000006,0.14329999999999998,0.12349999999999998,0.1132,0.16190000000000002,0.4691,0.0958,0.1247,0.0229,0.0012,0.0026,0.1205,0.0013,3e-4,2e-4,0.0037,0.1118,0.0221,0.0236,0.0587,0.4244,0.2842,0.1402,0.5756,0.4605,0.1151,0.49370000000000003,0.37470000000000003,0.0464,0.08510000000000001,0.12730000000000002,0.1242,0.0976,0.0378,0.3167,0.29650000000000004,0.7553,0.0405,0.2042,0.9305,0.7582,0.1944,0.06949999999999999,0.5973,0.1585,0.225,0.0236,0.0022,0.0064,0.0049,0.0067,8e-4,0.0012,0.0017,0.0024,0.0082,0.0027,0.0018,0.0019,4e-4,0.0016,0.0012,0.0044,0.0013,0.0033,0.003,0.0532,0.0075,0.0089,1e-4,0,5e-4,0,9e-4,0.0035,0.004,6e-4,0,0,9e-4,0.004,0.0069,0.0065,5e-4,0.0982,0.0045,8e-4,0.0012,0.0011,7e-4,1e-4,2e-4,1e-4,4e-4,0.0025,7e-4,7e-4,5e-4,1e-4,3e-4,1e-4,5e-4,2e-4,9e-4,8e-4,0.0316,0.0036,0.0028,1e-4,0,2e-4,0,2e-4,7e-4,7e-4,2e-4,0,0,1e-4,0.0012,5e-4,0.0019,1e-4,6.000000000000001e-4,0.0192,0.029500000000000002,0.0199,0.0694,0.0271,0.0618,0.1631,0.2046,0.22999999999999998,0.107,0.043,0.0248,0.27490000000000003,0.0728,0.2082,0.0533,0.0276,0.013500000000000002,0.0435,0.0242,0.0318,0.1853,0.021500000000000002,0.0434
Queens,2287388,2259221,0.4754926587527294,0.5245073412472706,0.4852,0.5148,39.98715170278638,73779.5640625,0.0975,0.9025,0.1391,0.8609,0.2021,0.24039999999999997,0.138,0.1367,0.1298,0.15310000000000001,0.2505,0.1322,0.1721,0.0108,0.0023,0.0022,0.2534,0.0016,4e-4,1e-4,0.0186,0.1196,0.0222,0.0139,0.09439999999999998,0.6785,0.4565,0.222,0.3215,0.2559,0.0656,0.37670000000000003,0.4884,0.0606,0.0744,0.1799,0.2754,0.14529999999999998,0.0778,0.2025,0.1192,0.7401,0.0423,0.2176,0.8647,0.6354,0.2602,0.1353,0.4366,0.28809999999999997,0.2391,0.0065,0.013,0.0114,0.0032,0.0025,9e-4,4e-4,3e-4,0.0128,0.017,0.0117,0.0042,0.0026,0.0014,0.0024,0.0025,0.0091,0.009,0.0432,0.0084,0.089,0.0027,0.0236,2e-4,0,0.0016,1e-4,0.0013,0.0084,0.0143,0.0021,0,3e-4,0.0011,0.0068,0.0043,0.0054,7e-4,0.1205,0.0016,0.0044,0.0041,0.0013,5e-4,2e-4,1e-4,0,0.0044,0.0088,0.0053,0.0017,0.0011,5e-4,0.0011,0.0012,0.0036,0.0036,0.0224,0.0036,0.0628,0.0014,0.0165,1e-4,0,0.001,0,8e-4,0.0042,0.0044,0.0011,0,1e-4,4e-4,0.0027,8e-4,0.0015,3e-4,0.0012,0.0735,0.0358,0.0224,0.0968,0.0862,0.0258,0.07719999999999999,0.11349999999999999,0.24609999999999999,0.1156,0.0634,0.0426,0.13470000000000001,0.0436,0.11159999999999999,0.0564,0.0517,0.028700000000000003,0.0676,0.0504,0.04529999999999999,0.2132,0.0823,0.1144
Staten Island,474893,468068,0.7377475067725202,0.2622524932274798,0.4844,0.5156,40.23888888888889,82968.24528301887,0.0945,0.9055,0.1276,0.8724,0.2197,0.21869999999999998,0.1256,0.1404,0.137,0.1588,0.6101,0.1312,0.0936,0.0094,0.001,0.0012,0.0922,0.001,3e-4,2e-4,0.0023,0.0347,0.0161,0.0068,0.0426,0.7391,0.5507,0.1884,0.2609,0.2272,0.0337,0.328,0.5388999999999999,0.0627,0.07050000000000001,0.1126,0.3038,0.1716,0.0735,0.2015,0.1372,0.6957,0.0312,0.2731,0.9385000000000001,0.7722,0.19740000000000002,0.06129999999999999,0.6957,0.109,0.1044,0.0038,0.0018,0.0255,5e-4,0.0014,5e-4,1e-4,3e-4,0.0035,0.0346,0.0102,0.0025,0.0042,0,5e-4,0.0014,0.0035,0.0065,0.0067,0.0166,0.0258,6e-4,0.0075,2e-4,0,3e-4,0,0.0011,0.0071,0.0083,5e-4,1e-4,2e-4,3e-4,0.0149,0.003,0.0055,1e-4,0.0363,7e-4,6e-4,0.0086,2e-4,2e-4,1e-4,0,1e-4,0.001,0.0136,0.0038,6e-4,0.0017,0,1e-4,5e-4,7e-4,0.0014,0.0023,0.0054,0.015,1e-4,0.0043,0,0,2e-4,0,6e-4,0.0026,0.002,2e-4,0,0,1e-4,0.0049,2e-4,9e-4,0,0.0012000000000000001,0.07619999999999999,0.0245,0.0161,0.097,0.0733,0.023100000000000002,0.09559999999999999,0.11579999999999999,0.2978,0.06999999999999999,0.0411,0.0682,0.14479999999999998,0.047,0.1418,0.081,0.0417,0.0537,0.0383,0.0296,0.0295,0.2162,0.0893,0.087
